City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Aitape,PG,-3.1374,142.3475,80.01,85,100,4.5
60,Kingaroy,AU,-26.5333,151.8333,70.05,77,90,9.22
61,Bose,IT,45.4612,8.0137,43.29,61,48,3.53
62,Iseyin,NG,7.9667,3.6,80.28,31,12,5.28
63,Shaoguan,CN,24.8,113.5833,52.99,71,100,2.86
64,Mao,ES,39.8885,4.2658,46.96,87,0,2.3
65,Pevek,RU,69.7008,170.3133,-33.25,97,13,1.03
66,Okhotsk,RU,59.3833,143.3,0.18,75,100,17.49
67,Emborion,GR,40.4833,21.55,43.32,99,100,5.88
68,Port Lincoln,AU,-34.7333,135.8667,61.47,68,85,15.41
69,Shimoda,JP,34.6667,138.95,51.1,61,1,24.27
70,Camana,PE,-16.6228,-72.7111,68.45,86,99,8.39
71,Talaja,IN,21.35,72.05,73.02,64,0,9.53
72,Phan Thiet,VN,10.9333,108.1,72.18,85,97,4.29
73,Loa Janan,ID,-0.583,117.095,72.7,99,66,2.46
74,Montepuez,MZ,-13.1256,38.9997,69.69,93,50,5.3
75,Esperance,AU,-33.8667,121.9,56.23,58,64,3.47
76,Bluff,NZ,-46.6,168.3333,61.81,71,26,4.76
77,Tuatapere,NZ,-46.1333,167.6833,61.83,54,58,3.18
78,Shache,CN,38.4167,77.2406,21.58,63,7,3.18
79,Hermanus,ZA,-34.4187,19.2345,64.9,87,57,7.61
80,Bambous Virieux,MU,-20.3428,57.7575,74.21,71,100,12.15
81,Naze,JP,28.3667,129.4833,59.92,70,76,18.39
82,Mataura,NZ,-46.1927,168.8643,61.48,50,64,2.13
83,Mar Del Plata,AR,-38.0023,-57.5575,65.98,84,100,11.95
84,Fort Myers Beach,US,26.452,-81.9481,85.01,71,1,4.61
85,Romitan,UZ,39.9343,64.3814,44.55,87,40,4.61
86,Constitucion,CL,-35.3333,-72.4167,59.45,58,0,19.42
87,Sorong,ID,-0.8833,131.25,81.5,80,100,5.01
88,Te Anau,NZ,-45.4167,167.7167,61.11,62,63,1.88
89,Safford,US,32.834,-109.7076,67.51,27,1,4.61
90,Manturovo,RU,58.3353,44.7619,11.12,94,98,5.12
91,Monrovia,LR,6.3005,-10.7969,78.57,82,9,7.87
92,Matagami,CA,49.7502,-77.6328,28.51,93,90,6.91
93,Porto San Giorgio,IT,43.1827,13.7934,45.18,71,7,9.37
94,Ouango,CF,4.3133,22.5552,76.62,49,98,1.39
95,Hamilton,US,39.1834,-84.5333,46.42,48,1,3.0
96,Yenagoa,NG,4.9247,6.2642,81.16,81,70,5.46
97,Bethel,US,41.3712,-73.414,44.58,43,1,3.44
98,Norman Wells,CA,65.282,-126.8329,-2.27,93,100,13.8
99,Marrakesh,MA,31.6315,-8.0083,55.47,41,0,4.61
100,Bengkulu,ID,-3.8004,102.2655,74.91,88,100,3.69
101,Gravdal,NO,68.1214,13.5031,37.29,70,75,3.44
